"","ID1","ID2","k0","k1","kinship"
"74","M_057","M_031",0.0952646252427466,0.707011631780477,0.275614779433507
"75","M_057","U_048",0.604527883686769,0.336122644558055,0.113705397017102
"76","M_057","M_067.2",0.778669068573758,0.0918363930145976,0.0877063674594715
"77","M_057","U_104",0.115167391203747,0.896642939953323,0.218255569409796
"78","M_057","U_121",0.923606197400822,-0.0699746470726523,0.0556905630677523
"79","U_007","L_ 025",0.842361806695263,-0.148490970499523,0.115941839277249
"80","U_007","L_028",0.921747563878803,-0.0555228878209113,0.0530069400158262
"81","U_007","M_031",0.964404921854958,-0.199887422323126,0.0677693946533022
"82","U_007","U_048",0.495937882904195,0.361453054199124,0.161667794998122
"83","U_007","M_067.2",0.809891487338479,-0.0512269208546083,0.107860986544413
"84","U_007","U_104",0.0139951060612359,0.153229750012513,0.454695009466254
